Segment,Start X,Start Y,Mid X,Mid Y,End X,End Y,Space
1,10,69,170,69,331,69,12
2,10,81,170,81,331,81,13
3,10,94,170,94,331,94,13
4,10,107,170,107,331,107,12
5,10,119,170,119,331,119,13
6,10,132,170,132,331,132,13
7,10,145,170,145,331,145,13
8,10,158,170,158,331,158,12
9,10,170,170,170,331,170,13
10,10,183,170,183,331,183,13
11,10,196,170,196,331,196,12
12,10,208,170,208,331,208,13
13,10,221,170,221,331,221,13
14,10,234,170,234,331,234,13
15,10,247,170,247,331,247,12
16,10,259,170,259,331,259,13
17,10,272,170,272,331,272,13
18,10,285,170,285,331,285,12
19,10,297,170,297,331,297,13
20,10,310,170,310,331,310,13
21,10,323,170,323,331,323,13
22,10,336,170,336,331,336,12
23,10,348,170,348,331,348,13
24,10,361,170,361,331,361,13
25,10,374,170,374,331,374,13
