Segment,Start X,Start Y,Mid X,Mid Y,End X,End Y,Space
1,332,94,411,94,490,94,36
2,332,120,411,120,490,120,16
3,332,136,411,136,490,136,16
4,332,152,411,152,490,152,16
5,332,168,411,168,490,168,17
6,332,185,411,185,490,185,16
7,332,201,411,201,490,201,16
8,332,217,411,217,490,217,16
9,332,233,411,233,490,233,17
10,332,250,411,250,490,250,16
11,332,266,411,266,490,266,16
12,332,282,411,282,490,282,16
13,332,298,411,298,490,298,17
14,332,315,411,315,490,315,16
15,332,331,411,331,490,331,16
16,332,347,411,347,490,347,16
17,332,363,411,363,490,363,17
18,332,380,411,380,490,380,16
19,332,396,411,396,490,396,16
20,332,412,411,412,490,412,16
21,332,428,411,428,490,428,17
22,332,445,411,445,490,445,16
23,332,461,411,461,490,461,16
24,332,477,411,477,490,477,16
25,332,493,411,493,490,493,17
