Segment,Start X,Start Y,Mid X,Mid Y,End X,End Y,Space
1,262,18,300,27,339,37,19
2,262,37,300,46,339,56,19
3,262,56,300,66,339,76,20
4,262,76,300,85,339,95,19
5,262,95,300,105,339,115,20
6,262,115,300,124,339,134,19
7,262,134,300,144,339,154,20
8,262,154,300,163,339,173,19
9,262,173,300,182,339,192,19
10,262,192,300,202,339,212,20
11,262,212,300,221,339,231,19
12,262,231,300,241,339,251,20
13,262,251,300,260,339,270,19
14,262,270,300,280,339,290,20
15,262,290,300,299,339,309,19
16,262,309,300,319,339,329,20
17,262,329,300,338,339,348,19
18,262,348,300,357,339,367,19
19,262,367,300,377,339,387,20
20,262,387,300,396,339,406,19
21,262,406,300,416,339,426,20
22,262,426,300,435,339,445,19
23,262,445,300,455,339,465,20
24,262,465,300,474,339,484,19
25,262,484,300,494,339,504,20
