Segment,Start X,Start Y,Mid X,Mid Y,End X,End Y,Space
1,16,63,16,222,16,381,12
2,28,63,28,222,28,381,13
3,41,63,41,222,41,381,13
4,54,63,54,222,54,381,13
5,67,63,67,222,67,381,13
6,80,63,80,222,80,381,13
7,93,63,93,222,93,381,12
8,105,63,105,222,105,381,13
9,118,63,118,222,118,381,13
10,131,63,131,222,131,381,13
11,144,63,144,222,144,381,13
12,157,63,157,222,157,381,13
13,170,63,170,222,170,381,12
14,182,63,182,222,182,381,13
15,195,63,195,222,195,381,13
16,208,63,208,222,208,381,13
17,221,63,221,222,221,381,13
18,234,63,234,222,234,381,13
19,247,63,247,222,247,381,12
20,259,63,259,222,259,381,13
21,272,63,272,222,272,381,13
22,285,63,285,222,285,381,13
23,298,63,298,222,298,381,13
24,311,63,311,222,311,381,13
25,324,63,324,222,324,381,13
