Segment,Start X,Start Y,Mid X,Mid Y,End X,End Y,Space
1,330,91,330,294,330,497,26
2,346,91,346,294,346,497,6
3,352,91,352,294,352,497,6
4,358,91,358,294,358,497,7
5,365,91,365,294,365,497,6
6,371,91,371,294,371,497,6
7,377,91,377,294,377,497,7
8,384,91,384,294,384,497,6
9,390,91,390,294,390,497,6
10,396,91,396,294,396,497,7
11,403,91,403,294,403,497,6
12,409,91,409,294,409,497,6
13,415,91,415,294,415,497,7
14,422,91,422,294,422,497,6
15,428,91,428,294,428,497,6
16,434,91,434,294,434,497,7
17,441,91,441,294,441,497,6
18,447,91,447,294,447,497,6
19,453,91,453,294,453,497,7
20,460,91,460,294,460,497,6
21,466,91,466,294,466,497,6
22,472,91,472,294,472,497,7
23,479,91,479,294,479,497,6
24,485,91,485,294,485,497,6
25,491,91,491,294,491,497,7
