Segment,Start X,Start Y,Mid X,Mid Y,End X,End Y,Space
1,222,58,225,187,228,317,0
2,228,58,231,187,234,317,6
3,234,58,237,187,241,317,6
4,241,58,244,187,247,317,7
5,247,58,250,187,254,317,6
6,254,58,257,187,260,317,7
7,260,58,263,187,267,317,6
8,267,58,270,187,273,317,7
9,273,58,276,187,280,317,6
10,280,58,283,187,286,317,7
11,286,58,289,187,293,317,6
12,293,58,296,187,299,317,7
13,299,58,302,187,306,317,6
14,306,58,309,187,312,317,7
15,312,58,315,187,319,317,6
16,319,58,322,187,325,317,7
17,325,58,328,187,332,317,6
18,332,58,335,187,338,317,7
19,338,58,341,187,345,317,6
20,345,58,348,187,351,317,7
21,351,58,354,187,358,317,6
22,358,58,361,187,364,317,7
23,364,58,367,187,371,317,6
24,371,58,374,187,377,317,7
25,377,58,380,187,384,317,6
